timestamp,quantity,entry_price,mark_price,unrealized_pnl,total_balance,available_balance,total_orders,filled_orders,risk_triggers
"2025-11-25T13:23:53+00:00",-0.008000,2925.5533,2925.9700,-0.0033,94.67284124,82.94454491,309,151,64
"2025-11-25T13:24:52+00:00",0.016000,2925.2000,2925.2101,0.0002,94.51892244,82.82313974,370,182,83
"2025-11-25T13:25:52+00:00",0.008000,2925.5950,2925.4222,-0.0014,94.42130140,82.72287564,429,211,102
"2025-11-25T13:26:53+00:00",0.000000,0.0000,2926.9900,0.0000,94.30525078,82.60909078,489,240,120
"2025-11-25T13:27:54+00:00",-0.008000,2928.5756,2928.7777,-0.0016,94.17457416,82.47814806,549,270,144
"2025-11-25T13:28:55+00:00",-0.024000,2927.7767,2927.7300,0.0011,94.09849721,80.05865988,603,296,155
"2025-11-25T13:29:56+00:00",0.024000,2926.8473,2927.5029,0.0157,93.95116801,79.89423037,678,335,177
"2025-11-25T13:30:57+00:00",-0.008000,2927.9200,2928.6700,-0.0060,93.80060356,82.10266000,737,363,194
"2025-11-25T13:31:58+00:00",-0.016000,2926.9400,2927.0900,-0.0024,93.74976855,82.01662155,790,389,203
"2025-11-25T13:32:59+00:00",-0.008000,2929.1646,2930.1500,-0.0079,93.56819919,79.52333165,857,423,226
"2025-11-25T13:34:00+00:00",0.008000,2930.5000,2931.3472,0.0068,93.49416389,72.42510200,918,453,240
"2025-11-25T13:35:01+00:00",0.008000,2928.6700,2928.6700,0.0000,93.39774465,79.35173654,981,485,258
"2025-11-25T13:36:22+00:00",0.008000,2916.7441,2917.1775,0.0035,93.04753914,85.99285666,1089,541,303
"2025-11-25T13:37:02+00:00",0.016000,2912.8300,2913.9868,0.0185,92.93331775,85.87716757,1131,561,315
"2025-11-25T13:38:03+00:00",0.000000,0.0000,2910.8400,0.0000,92.82558963,81.11090063,1189,590,326
"2025-11-25T13:39:04+00:00",0.000000,0.0000,2912.8355,0.0000,92.76257029,83.37364929,1251,621,334
"2025-11-25T13:40:05+00:00",0.000000,0.0000,2908.2000,0.0000,92.74840390,92.74840390,1266,627,334
"2025-11-25T13:41:06+00:00",0.000000,0.0000,2906.1121,0.0000,92.74840390,92.74840390,1266,627,334
"2025-11-25T13:42:07+00:00",0.000000,0.0000,2906.0000,0.0000,92.74840390,92.74840390,1266,627,334
"2025-11-25T13:43:07+00:00",0.000000,0.0000,2906.1679,0.0000,92.74840390,92.74840390,1266,627,334
"2025-11-25T14:08:16+00:00",0.008000,2912.3950,2910.6000,-0.0144,92.72762954,90.38478954,1266,627,334
"2025-11-25T14:09:16+00:00",0.008000,2910.0212,2908.1559,-0.0149,92.68822279,90.33968810,1266,627,334
"2025-11-25T14:10:17+00:00",0.008000,2904.9698,2905.8330,0.0069,92.63919905,87.99430197,1266,627,334
"2025-11-25T14:11:17+00:00",0.016000,2906.0450,2905.9600,-0.0014,92.62914586,87.97568985,1266,627,334
"2025-11-25T14:12:17+00:00",-0.008000,2906.1600,2906.0200,0.0011,92.59285746,87.93028945,1266,627,334
"2025-11-25T14:13:17+00:00",0.000000,0.0000,2906.9900,0.0000,92.58445952,87.92021052,1266,627,334
"2025-11-25T14:14:18+00:00",-0.008000,2910.3654,2911.0629,-0.0056,92.53065613,85.52977461,1266,627,334
"2025-11-25T14:15:18+00:00",-0.024000,2910.4100,2910.9179,-0.0122,92.51717106,83.18454637,1266,627,334
"2025-11-25T14:16:18+00:00",-0.032000,2910.2631,2910.7200,-0.0146,92.50162512,80.82758987,1266,627,334
"2025-11-25T14:17:20+00:00",-0.040000,2911.9849,2913.3940,-0.0564,92.41359520,76.03405183,1266,627,334
"2025-11-25T14:18:21+00:00",-0.032000,2911.7420,2911.6300,0.0036,92.40866293,80.75871511,1266,627,334
"2025-11-25T14:19:22+00:00",0.000000,0.0000,2908.6000,0.0000,92.45888719,87.79118418,1266,627,334
"2025-11-25T14:20:23+00:00",0.000000,0.0000,2909.4900,0.0000,92.44256353,87.77486052,1266,627,334
"2025-11-25T14:21:24+00:00",0.008000,2906.8049,2905.9926,-0.0065,92.40989070,85.43201516,1266,627,334
"2025-11-25T14:22:25+00:00",-0.008000,2908.9600,2909.0491,-0.0007,92.39777202,85.40193302,1266,627,334
"2025-11-25T14:23:25+00:00",-0.024000,2910.3010,2910.3039,-0.0001,92.36718112,83.04641214,1266,627,334
"2025-11-25T14:24:26+00:00",-0.050000,2911.2153,2913.9500,-0.1367,92.32081804,73.51599266,1266,627,334
"2025-11-25T14:25:27+00:00",-0.048000,2912.1898,2912.4000,-0.0101,92.26489452,75.93403267,1266,627,334
"2025-11-25T14:26:28+00:00",-0.032000,2911.4881,2912.3835,-0.0287,92.32669824,80.64244877,1266,627,334
"2025-11-25T14:27:28+00:00",-0.040000,2913.2790,2913.7900,-0.0204,92.26377236,80.58817367,1266,627,334
"2025-11-25T14:28:29+00:00",-0.024000,2912.8586,2911.6909,0.0280,92.30607980,83.01044575,1266,627,334
"2025-11-25T14:29:30+00:00",-0.032000,2913.1813,2913.5099,-0.0105,92.26038751,78.26349407,1266,627,334
"2025-11-25T14:30:31+00:00",0.000000,0.0000,2905.3018,0.0000,92.32660484,87.65741184,1266,627,334
"2025-11-25T14:31:31+00:00",0.008000,2901.8700,2901.7648,-0.0008,92.25724081,87.61406095,1266,627,334
"2025-11-25T14:32:32+00:00",0.008000,2899.9417,2900.1200,0.0014,92.22524368,87.58543034,1266,627,334
"2025-11-25T14:33:32+00:00",0.024000,2902.5233,2902.3731,-0.0036,92.25735859,85.26830410,1266,627,334
"2025-11-25T14:34:34+00:00",0.016000,2906.3840,2903.8424,-0.0407,92.30959664,87.61730550,1266,627,334
"2025-11-25T14:35:35+00:00",0.016000,2905.0182,2903.8900,-0.0181,92.25698260,87.59270753,1266,627,334
"2025-11-25T14:36:36+00:00",0.024000,2905.7104,2905.4926,-0.0052,92.24682238,85.23621017,1266,627,334
"2025-11-25T14:37:36+00:00",0.016000,2903.5817,2904.1200,0.0086,92.19126141,85.23165004,1266,627,334
"2025-11-25T14:38:37+00:00",0.024000,2906.1748,2904.9900,-0.0284,92.18834261,82.86430277,1266,627,334
"2025-11-25T15:08:08+00:00",0.000000,0.0000,2870.1500,0.0000,91.09576733,91.09576733,1266,627,334
"2025-11-25T15:09:10+00:00",-0.016000,2873.2050,2872.5765,0.0101,91.04720296,86.46113648,1266,627,334
"2025-11-25T15:10:11+00:00",-0.008000,2885.6500,2888.5945,-0.0236,90.94258040,88.60916265,1266,627,334
"2025-11-25T15:11:12+00:00",-0.008000,2885.6800,2886.3803,-0.0056,90.92004623,88.60533989,1266,627,334
"2025-11-25T15:12:13+00:00",0.000000,0.0000,2879.6500,0.0000,90.91670355,88.60743755,1266,627,334
"2025-11-25T15:13:14+00:00",-0.008000,2878.2000,2878.5600,-0.0029,90.87696511,86.26197111,1266,627,334
"2025-11-25T15:14:14+00:00",-0.008000,2876.7200,2876.3493,0.0030,90.93491420,88.63680047,1266,627,334
"2025-11-25T15:15:14+00:00",0.000000,0.0000,2872.8200,0.0000,90.94026710,88.63822809,1266,627,334
"2025-11-25T15:16:16+00:00",-0.008000,2872.1600,2872.3000,-0.0011,90.91995524,88.62471348,1266,627,334
"2025-11-25T15:17:18+00:00",-0.016000,2875.1937,2875.0918,0.0016,90.91413241,86.28780552,1266,627,334
"2025-11-25T15:18:19+00:00",0.000000,0.0000,2878.1700,0.0000,90.82866353,86.23776853,1266,627,334
"2025-11-25T15:19:19+00:00",0.000000,0.0000,2875.1262,0.0000,90.82901225,86.23811725,1266,627,334
"2025-11-25T15:20:21+00:00",0.008000,2870.9600,2872.4702,0.0121,90.83010038,86.24276108,1266,627,334
"2025-11-25T15:21:22+00:00",0.016000,2866.7900,2867.1300,0.0054,90.78702216,86.20505416,1266,627,334
"2025-11-25T15:22:22+00:00",0.008000,2870.0200,2870.2663,0.0020,90.79498527,86.20484520,1266,627,334
